video_id,comment_id,text,author,likes,time,reply_count,cleaned_comment
SH9Mz-Ssd7A,UgxLoPHNgX8yYHijnzV4AaABAg,Jis product Mein Piche Ram Ka Naam Likha ho wo product brand ban jata hai,@rajuojha5466,2,4 years ago,False,jis product mein piche ram ka naam likha ho wo product brand ban jata hai
SH9Mz-Ssd7A,UgxOE9p6cQ7Piv9lINV4AaABAg,App ka Haldiram ka mal Assam may bhi milta hey. Lekin bohut Dukander App ka mal bach  nahi pata  . Ihaka sub distributor Dam Jada lagate hey  . Isliye hum log BIKAJI and parle ka mal bech rahe hey  . Ek cartoon mal lene se dusra company 1pata 44/--Rupice letey hey aur App ka company ka admi 48/--Rupics letey Hey  . Kripaya App ka Market ka Rate thik kijiye  . May EK Retal dukander hoon  . May App ka mal bech nahi pa raha hoon  . May Abhi BIKAJI aur parle ka mal bech raha hoon  . May Assam Morigaon district jagiroad sey bol raha hoon  . Thanks,@shekhardas8806,0,4 years ago,False,app ka haldiram ka mal assam may bhi milta hey lekin bohut dukander app ka mal bach nahi pata ihaka sub distributor dam jada lagate hey isliye hum log bikaji parle ka mal bech rahe hey ek cartoon mal lene se dusra company pata rupice letey hey aur app ka company ka admi rupics letey hey kripaya app ka market ka rate thik kijiye may ek retal dukander hoon may app ka mal bech nahi pa raha hoon may abhi bikaji aur parle ka mal bech raha hoon may assam morigaon district jagiroad sey bol raha hoon thanks
SH9Mz-Ssd7A,UgzafAEpzB_OYktAXpB4AaABAg,Love their Gulabjamun n Rasgulla,@bubblegammu,2,4 years ago,False,love gulabjamun n rasgulla
SH9Mz-Ssd7A,Ugwoz1kT_ID6r4goWXB4AaABAg,"Haldiram product very testing food and world best ,👌",@skverma5088,1,4 years ago,False,haldiram product testing food world best
SH9Mz-Ssd7A,Ugw4NFb9TcAYhaROFlF4AaABAg,Hum logo ko kam dilane ke liye bole h par mujhe dauat ho rha h ki wo log galt h ya Ford h,@pratibhajaiswal9282,0,4 years ago,False,hum logo ko kam dilane ke liye bole h par mujhe dauat ho rha h ki wo log galt h ya ford h
SH9Mz-Ssd7A,UgyRxHFJT6f_Bblij_54AaABAg,Haldiram ka company ya office lacknow me h kya plz help me,@pratibhajaiswal9282,0,4 years ago,False,haldiram ka company ya office lacknow h kya plz help
SH9Mz-Ssd7A,UgwBA7e-EiePE2ED_0t4AaABAg,Very good 👍,@sivarajak0633,0,4 years ago,False,good
SH9Mz-Ssd7A,UgyDCXdDkG8w7Edhwwp4AaABAg,Can send your number,@shubhamdongre850,0,4 years ago,False,send number
SH9Mz-Ssd7A,Ugz-AFsfOaXHevcH_Nd4AaABAg,Requirement ha yaha,@abhishekbhardwaj7101,0,4 years ago,False,requirement ha yaha
SH9Mz-Ssd7A,UgwCws2yacAJFRCLRNB4AaABAg,Sir haldiram ka ye plant ha kaha,@abhishekbhardwaj7101,0,4 years ago,False,sir haldiram ka ye plant ha kaha
